stop_name,date_collection_datetime,lbs_collected,compost_created_lbs
Citizen's Convenience Center,14/10/2022,469.6,47
Citizen's Convenience Center,21/10/2022,480.8,48
Citizen's Convenience Center,26/10/2022,375.6,38
Citizen's Convenience Center,14/11/2022,633.4,63
Citizen's Convenience Center,30/11/2022,686.8,69
Citizen's Convenience Center,5/12/2022,834.4,83
Citizen's Convenience Center,16/12/2022,357.6,36
Citizen's Convenience Center,27/12/2022,987.4,99
Citizen's Convenience Center,28/12/2022,425.6,43
Citizen's Convenience Center,4/1/2023,526.8,53
Citizen's Convenience Center,9/1/2023,534.4,53
Citizen's Convenience Center,27/1/2023,483.6,48
Citizen's Convenience Center,30/1/2023,642.4,64
Citizen's Convenience Center,17/2/2023,757.6,76
Citizen's Convenience Center,20/3/2023,694.4,69
Citizen's Convenience Center,24/3/2023,404.6,40
Citizen's Convenience Center,12/4/2023,985.4,99
Citizen's Convenience Center,14/4/2023,719.6,72
Citizen's Convenience Center,21/4/2023,772.4,77
Citizen's Convenience Center,19/5/2023,452.6,45
Citizen's Convenience Center,5/6/2023,1016.4,102
Citizen's Convenience Center,19/7/2023,856.6,86
Citizen's Convenience Center,28/7/2023,462.8,46
Citizen's Convenience Center,18/8/2023,612.8,61
Citizen's Convenience Center,20/9/2023,359.6,36
Citizen's Convenience Center,22/9/2023,755.8,76
Citizen's Convenience Center,29/9/2023,595.8,60
Citizen's Convenience Center,2/10/2023,1316,132
Citizen's Convenience Center,6/10/2023,732.4,73
Citizen's Convenience Center,20/10/2023,530.8,53
Citizen's Convenience Center,8/11/2023,683.4,68
Citizen's Convenience Center,15/11/2023,863.4,86
Citizen's Convenience Center,17/11/2023,593.4,59
Citizen's Convenience Center,24/11/2023,294.4,29
Citizen's Convenience Center,29/11/2023,1352.8,135
Citizen's Convenience Center,8/1/2024,1104.8,110
Citizen's Convenience Center,10/1/2024,542.6,54
Mills Park,2/2/2024,66.4,7
Mills Park,12/2/2024,301.8,30
Citizen's Convenience Center,14/2/2024,654.4,65
Mills Park,21/2/2024,317,32
Citizen's Convenience Center,26/2/2024,1446.8,145
Mills Park,6/3/2024,248.8,25
Citizen's Convenience Center,11/3/2024,1533.8,153
Mills Park,13/3/2024,267.8,27
Mills Park,20/3/2024,466.8,47
Citizen's Convenience Center,25/3/2024,1460,146
Mills Park,25/3/2024,703.8,70
Citizen's Convenience Center,27/3/2024,914.4,91
Mills Park,29/3/2024,121.4,12
Citizen's Convenience Center,1/4/2024,1614.8,161
Citizen's Convenience Center,5/4/2024,1052.8,105
Mills Park,8/4/2024,518.8,52
